t,feat_mean_5m,feat_min_5m,feat_std_5m,feat_slope_5m,label_next_30min
302.0,97.91333333333333,96.0,1.3285477104537942,0.013333333333333334,0
303.0,97.92666666666666,96.0,1.329353033313364,0.013333333333333334,0
304.0,97.94,96.0,1.3300237632096257,0.013333333333333334,0
305.0,97.95333333333333,96.0,1.3305601036858785,0.013333333333333334,0
306.0,97.96333333333334,96.0,1.3346384359585803,0.01,0
307.0,97.97333333333333,96.0,1.3386293927219117,0.01,0
308.0,97.98666666666666,96.0,1.338829252786138,0.013333333333333334,0
309.0,98.0,96.0,1.3388958661778636,0.013333333333333334,0
310.0,98.01333333333334,96.0,1.3388292527861365,0.013333333333333334,0
311.0,98.02666666666667,96.0,1.3386293927219088,0.013333333333333334,0
312.0,98.04,96.0,1.3382962262883347,0.013333333333333334,0
313.0,98.05333333333333,96.0,1.337829653891555,0.013333333333333334,0
314.0,98.06333333333333,96.0,1.341137971681429,0.01,0
315.0,98.07333333333334,96.0,1.3443635172242796,0.01,0
316.0,98.08333333333333,96.0,1.3475068849193956,0.01,0
317.0,98.09333333333333,96.0,1.3505686485589652,0.01,0
318.0,98.10333333333334,96.0,1.3535493619145498,0.01,0
319.0,98.11333333333333,96.0,1.3564495592950954,0.01,0
320.0,98.12333333333333,96.0,1.3592697560779137,0.01,0
321.0,98.13333333333334,96.0,1.3620104492139709,0.01,0
322.0,98.14333333333333,96.0,1.3646721177087384,0.01,0
323.0,98.15333333333334,96.0,1.3672552230797812,0.01,0
324.0,98.16333333333333,96.0,1.3697602097921777,0.01,0
325.0,98.17333333333333,96.0,1.3721875056728061,0.01,0
326.0,98.18333333333334,96.0,1.3745375223044598,0.01,0
327.0,98.19333333333333,96.0,1.376810655400694,0.01,0
328.0,98.20333333333333,96.0,1.3790072851622548,0.01,0
329.0,98.21333333333334,96.0,1.3811277766158843,0.01,0
330.0,98.22333333333333,96.0,1.3831724799362435,0.01,0
331.0,98.23333333333333,96.0,1.3851417307516583,0.01,0
332.0,98.24333333333334,96.0,1.3870358504343354,0.01,0
333.0,98.25333333333333,96.0,1.3888551463756682,0.01,0
334.0,98.26333333333334,96.0,1.390599912247206,0.01,0
335.0,98.27333333333333,96.0,1.3922704282478218,0.01,0
336.0,98.28333333333333,96.0,1.393866961337591,0.01,0
337.0,98.29333333333334,96.0,1.3953897654588425,0.01,0
338.0,98.30666666666667,96.0,1.3925106253434616,0.013333333333333334,0
339.0,98.32,96.0,1.3894971540586267,0.013333333333333334,0
340.0,98.33333333333333,96.0,1.3863484756276239,0.013333333333333334,0
341.0,98.34666666666666,96.0,1.3830636666142595,0.013333333333333334,0
342.0,98.36,96.0,1.379641754673057,0.013333333333333334,0
343.0,98.37333333333333,96.0,1.3760817169999946,0.013333333333333334,0
344.0,98.38666666666667,96.0,1.3723824786776402,0.013333333333333334,0
345.0,98.4,96.0,1.3685429109080003,0.013333333333333334,0
346.0,98.41333333333333,96.0,1.3645618291257937,0.013333333333333334,0
347.0,98.42666666666666,97.0,1.3604379909842086,0.013333333333333334,0
348.0,98.43666666666667,97.0,1.3609418667861395,0.01,0
349.0,98.44666666666667,97.0,1.361371857110765,0.01,0
350.0,98.45666666666666,97.0,1.361728031950126,0.01,0
351.0,98.46666666666667,97.0,1.3620104492139524,0.01,0
352.0,98.47666666666667,97.0,1.3622191547768299,0.01,0
353.0,98.48666666666666,97.0,1.3623541825155046,0.01,0
354.0,98.49333333333334,97.0,1.3648559122091988,0.006666666666666667,0
355.0,98.5,97.0,1.367320451610074,0.006666666666666667,0
356.0,98.5,97.0,1.367320451610074,0.0,0
357.0,98.5,97.0,1.367320451610074,0.0,0
358.0,98.5,97.0,1.367320451610074,0.0,0
359.0,98.5,97.0,1.367320451610074,0.0,0
360.0,98.50666666666666,97.0,1.3697480014637025,0.006666666666666667,0
361.0,98.51333333333334,97.0,1.3721387580927429,0.006666666666666667,0
362.0,98.52,97.0,1.3744929134886945,0.006666666666666667,0
363.0,98.52666666666667,97.0,1.376810655400677,0.006666666666666667,0
364.0,98.53333333333333,97.0,1.3790921674213443,0.006666666666666667,0
365.0,98.54,97.0,1.381337629070032,0.006666666666666667,0
366.0,98.54666666666667,97.0,1.3835472158732394,0.006666666666666667,0
367.0,98.55333333333333,97.0,1.3857210994425335,0.006666666666666667,0
368.0,98.56,97.0,1.3878594475499715,0.006666666666666667,0
369.0,98.56666666666666,97.0,1.3899624242011213,0.006666666666666667,0
370.0,98.57666666666667,97.0,1.3894450020064688,0.01,0
371.0,98.58666666666667,97.0,1.3888551463756518,0.01,0
372.0,98.59666666666666,97.0,1.3881927649758115,0.01,0
373.0,98.60666666666667,97.0,1.3874577539341235,0.01,0
374.0,98.61666666666666,97.0,1.3866499977558635,0.01,0
375.0,98.62666666666667,97.0,1.3857693692330006,0.01,0
376.0,98.63666666666667,97.0,1.38481572934315,0.01,0
377.0,98.64666666666666,97.0,1.3837889271386916,0.01,0
378.0,98.65666666666667,97.0,1.3826887996258526,0.01,0
379.0,98.66666666666667,97.0,1.3815151716335181,0.01,0
380.0,98.67666666666666,97.0,1.3802678556715278,0.01,0
381.0,98.68666666666667,97.0,1.3789466517781768,0.01,0
382.0,98.69666666666667,97.0,1.3775513473566383,0.01,0
383.0,98.70666666666666,97.0,1.3760817169999802,0.01,0
384.0,98.71666666666667,97.0,1.3745375223044356,0.01,0
385.0,98.72666666666667,97.0,1.3729185116705573,0.01,0
386.0,98.73666666666666,97.0,1.3712244200918604,0.01,0
387.0,98.74666666666667,97.0,1.3694549689305227,0.01,0
388.0,98.75666666666666,97.0,1.367609865679689,0.01,0
389.0,98.76666666666667,97.0,1.3656888037118904,0.01,0
390.0,98.77666666666667,97.0,1.3636914620130502,0.01,0
391.0,98.78666666666666,97.0,1.3616175049015218,0.01,0
392.0,98.79666666666667,97.0,1.3594665817315554,0.01,0
393.0,98.80666666666667,97.0,1.3572383265805579,0.01,0
394.0,98.81666666666666,97.0,1.3549323579194592,0.01,0
395.0,98.82666666666667,97.0,1.3525482782654588,0.01,0
396.0,98.83333333333333,97.0,1.3484373052200427,0.006666666666666667,0
397.0,98.84,97.0,1.3442805886433016,0.006666666666666667,0
398.0,98.84666666666666,97.0,1.3400777028669382,0.006666666666666667,0
399.0,98.85333333333334,97.0,1.3358282121077305,0.006666666666666667,0
400.0,98.86,97.0,1.3315316701560644,0.006666666666666667,0
401.0,98.86666666666666,97.0,1.3271876200515582,0.006666666666666667,0
402.0,98.87666666666667,97.0,1.3243748656774583,0.01,0
403.0,98.88666666666667,97.0,1.3214802011236986,0.01,0
404.0,98.89666666666666,97.0,1.3185030869093008,0.01,0
405.0,98.90666666666667,97.0,1.315442963233472,0.01,0
406.0,98.91666666666667,97.0,1.3122992493921648,0.01,0
407.0,98.92666666666666,97.0,1.3090713431641914,0.01,0
408.0,98.93666666666667,97.0,1.3057586201652431,0.01,0
409.0,98.94666666666667,97.0,1.302360433168045,0.01,0
410.0,98.95666666666666,97.0,1.2988761113867462,0.01,0
411.0,98.96666666666667,97.0,1.2953049597235131,0.01,0
412.0,98.97666666666667,97.0,1.2916462579751422,0.01,0
413.0,98.98666666666666,97.0,1.2878992599973502,0.01,0
414.0,98.99666666666667,97.0,1.2840631928242223,0.01,0
415.0,99.00666666666666,97.0,1.2801372557401134,0.01,0
416.0,99.01666666666667,97.0,1.276120619301091,0.01,0
417.0,99.02666666666667,97.0,1.2720124243027857,0.01,0
418.0,99.03666666666666,97.0,1.267811780691274,0.01,0
419.0,99.04666666666667,97.0,1.2635177664133526,0.01,0
420.0,99.05666666666667,97.0,1.2591294262022765,0.01,0
421.0,99.06666666666666,97.0,1.2546457702947234,0.01,0
422.0,99.07666666666667,97.0,1.2500657730743947,0.01,0
423.0,99.08666666666667,97.0,1.2453883716373004,0.01,0
424.0,99.09666666666666,97.0,1.240612464273356,0.01,0
425.0,99.10666666666667,97.0,1.2357369088584713,0.01,0
426.0,99.11666666666666,97.0,1.2307605211508248,0.01,0
427.0,99.12666666666667,97.0,1.2256820729844624,0.01,0
428.0,99.13666666666667,97.0,1.2205002903527746,0.01,0
429.0,99.14666666666666,97.0,1.2152138513737427,0.01,0
430.0,99.15666666666667,97.0,1.2098213841281205,0.01,0
431.0,99.16666666666667,97.0,1.2043214643609226,0.01,0
432.0,99.17666666666666,97.0,1.198712613035698,0.01,0
433.0,99.18666666666667,97.0,1.1929932937300964,0.01,0
434.0,99.19666666666667,97.0,1.1871619098601405,0.01,0
435.0,99.20666666666666,97.0,1.1812168017194165,0.01,0
436.0,99.21666666666667,97.0,1.1751562433180522,0.01,0
437.0,99.22666666666667,97.0,1.168978439004854,0.01,0
438.0,99.23666666666666,97.0,1.1626815198543121,0.01,0
439.0,99.24666666666667,97.0,1.1562635397983105,0.01,0
440.0,99.25666666666666,97.0,1.1497224714803065,0.01,0
